id,topic,level,gt_status,label,filtered_label,variant,in_D1,in_D2,residual
52,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
53,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
54,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
55,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
56,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
57,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
58,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
59,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
60,Bit manipulation,Easy,Runtime Error,3,3,logic1,True,True,True
61,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
62,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
63,Bit manipulation,Easy,Runtime Error,3,3,logic1,True,True,True
64,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
65,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
66,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
67,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
68,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
69,Bit manipulation,Easy,Wrong Answer,1,1,logic1,False,False,False
70,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
71,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
72,Bit manipulation,Medium,Runtime Error,3,3,logic1,True,True,True
73,Bit manipulation,Medium,Accepted,1,1,logic1,False,False,False
74,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
75,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
76,Bit manipulation,Medium,Runtime Error,1,2,logic1,True,False,False
77,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
78,Bit manipulation,Medium,Wrong Answer,1,2,logic1,True,False,False
79,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
80,Bit manipulation,Medium,Time Limit Exceeded,1,2,logic1,True,False,False
81,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
82,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
83,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
84,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
85,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
86,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
87,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
88,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
89,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
90,Bit manipulation,Medium,Wrong Answer,1,1,logic1,False,False,False
91,Bit manipulation,Hard,Runtime Error,3,3,logic1,True,True,True
92,Bit manipulation,Hard,Wrong Answer,1,1,logic1,False,False,False
93,Bit manipulation,Hard,Wrong Answer,1,2,logic1,True,False,False
94,Bit manipulation,Hard,Wrong Answer,1,1,logic1,False,False,False
95,Bit manipulation,Hard,Wrong Answer,1,1,logic1,False,False,False
96,Bit manipulation,Hard,Time Limit Exceeded,1,2,logic1,True,True,True
97,Bit manipulation,Hard,Wrong Answer,1,2,logic1,True,False,False
98,Bit manipulation,Hard,Wrong Answer,1,1,logic1,False,False,False
99,Bit manipulation,Hard,Wrong Answer,1,1,logic1,False,False,False
100,Bit manipulation,Hard,Wrong Answer,1,1,logic1,False,False,False
101,Tree,Easy,Runtime Error,1,1,logic1,False,False,False
102,Tree,Easy,Runtime Error,1,1,logic1,False,False,False
103,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
104,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
105,Tree,Easy,Runtime Error,1,1,logic1,False,False,False
106,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
107,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
108,Tree,Easy,Runtime Error,3,3,logic1,True,True,True
109,Tree,Easy,Runtime Error,2,2,logic1,True,True,True
110,Tree,Easy,Runtime Error,2,2,logic1,True,False,False
111,Tree,Easy,Runtime Error,2,2,logic1,True,True,False
112,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
113,Tree,Easy,Wrong Answer,1,2,logic1,True,False,False
114,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
115,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
116,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
117,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
118,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
119,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
120,Tree,Easy,Wrong Answer,1,1,logic1,False,False,False
121,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
122,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
123,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
124,Tree,Medium,Runtime Error,2,2,logic1,True,False,False
125,Tree,Medium,Wrong Answer,1,2,logic1,True,False,False
126,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
127,Tree,Medium,Runtime Error,2,2,logic1,True,False,False
128,Tree,Medium,Runtime Error,1,1,logic1,False,False,False
129,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
130,Tree,Medium,Runtime Error,3,3,logic1,True,True,False
131,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
132,Tree,Medium,Runtime Error,2,2,logic1,True,True,False
133,Tree,Medium,Wrong Answer,2,2,logic1,True,True,True
134,Tree,Medium,Runtime Error,2,2,logic1,True,True,True
135,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
136,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
137,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
138,Tree,Medium,Runtime Error,2,2,logic1,True,False,False
139,Tree,Medium,Runtime Error,1,2,logic1,True,False,False
140,Tree,Medium,Wrong Answer,1,1,logic1,False,False,False
141,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
142,Tree,Hard,Accepted,1,1,logic1,False,False,False
143,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
144,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
145,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
146,Tree,Hard,Runtime Error,1,1,logic1,False,False,False
147,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
148,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
149,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
150,Tree,Hard,Wrong Answer,1,1,logic1,False,False,False
151,Graph,Easy,Wrong Answer,1,1,logic1,False,False,False
152,Graph,Medium,Wrong Answer,1,2,logic1,True,False,False
153,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
154,Graph,Medium,Wrong Answer,2,2,logic1,True,False,False
155,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
156,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
157,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
158,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
159,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
160,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
161,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
162,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
163,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
164,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
165,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
166,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
167,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
168,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
169,Graph,Medium,Wrong Answer,1,1,logic1,False,False,False
170,Graph,Hard,Wrong Answer,2,2,logic1,True,False,False
171,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
172,Graph,Hard,Wrong Answer,1,2,logic1,True,False,False
173,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
174,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
175,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
176,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
177,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
178,Graph,Hard,Wrong Answer,1,2,logic1,True,False,False
179,Graph,Hard,Wrong Answer,1,1,logic1,False,False,False
1,String,Easy,Accepted,1,1,logic2,False,False,False
2,String,Easy,Wrong Answer,1,1,logic2,False,False,False
3,String,Easy,Accepted,1,1,logic2,False,False,False
4,String,Easy,Wrong Answer,1,1,logic2,False,False,False
5,String,Easy,Wrong Answer,1,1,logic2,False,False,False
6,String,Easy,Accepted,3,3,logic2,True,True,True
7,String,Easy,Wrong Answer,1,2,logic2,True,False,False
8,String,Easy,Wrong Answer,1,1,logic2,False,False,False
9,String,Easy,Wrong Answer,1,1,logic2,False,False,False
10,String,Easy,Accepted,1,1,logic2,False,False,False
11,String,Easy,Wrong Answer,1,1,logic2,False,False,False
12,String,Easy,Wrong Answer,1,1,logic2,False,False,False
13,String,Easy,Wrong Answer,1,1,logic2,False,False,False
14,String,Easy,Wrong Answer,1,1,logic2,False,False,False
15,String,Easy,Accepted,1,1,logic2,False,False,False
16,String,Easy,Accepted,1,1,logic2,False,False,False
17,String,Easy,Accepted,1,1,logic2,False,False,False
18,String,Medium,Wrong Answer,1,1,logic2,False,False,False
19,String,Medium,Wrong Answer,1,1,logic2,False,False,False
20,String,Medium,Accepted,1,1,logic2,False,False,False
21,String,Medium,Wrong Answer,1,1,logic2,False,False,False
22,String,Medium,Runtime Error,2,2,logic2,True,False,False
23,String,Medium,Runtime Error,3,3,logic2,True,True,False
24,String,Medium,Wrong Answer,1,1,logic2,False,False,False
25,String,Medium,Accepted,1,1,logic2,False,False,False
26,String,Medium,Wrong Answer,1,2,logic2,True,True,False
27,String,Medium,Wrong Answer,1,1,logic2,False,False,False
28,String,Medium,Wrong Answer,1,1,logic2,False,False,False
29,String,Medium,Accepted,1,1,logic2,False,False,False
30,String,Medium,Wrong Answer,1,2,logic2,True,False,False
31,String,Medium,Accepted,1,1,logic2,False,False,False
32,String,Medium,Wrong Answer,1,1,logic2,False,False,False
33,String,Medium,Accepted,1,1,logic2,False,False,False
34,String,Medium,Wrong Answer,1,1,logic2,False,False,False
35,String,Hard,Accepted,2,2,logic2,True,True,True
36,String,Hard,Wrong Answer,1,1,logic2,False,False,False
37,String,Hard,Wrong Answer,1,1,logic2,False,False,False
38,String,Hard,Wrong Answer,1,1,logic2,False,False,False
39,String,Hard,Wrong Answer,1,1,logic2,False,False,False
40,String,Hard,Wrong Answer,2,2,logic2,True,False,False
41,String,Hard,Runtime Error,1,2,logic2,True,True,False
42,String,Hard,Accepted,1,1,logic2,False,False,False
43,String,Hard,Wrong Answer,1,1,logic2,False,False,False
44,String,Hard,Accepted,2,2,logic2,True,True,False
45,String,Hard,Wrong Answer,1,2,logic2,True,False,False
46,String,Hard,Time Limit Exceeded,3,3,logic2,True,True,True
47,String,Hard,Wrong Answer,1,1,logic2,False,False,False
48,String,Hard,Wrong Answer,1,1,logic2,False,False,False
49,String,Hard,Wrong Answer,1,2,logic2,True,True,False
50,String,Hard,Runtime Error,1,1,logic2,False,False,False
51,Bit manipulation,Easy,Accepted,3,3,logic2,True,True,True
52,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
53,Bit manipulation,Easy,Wrong Answer,1,2,logic2,True,True,False
54,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
55,Bit manipulation,Easy,Accepted,1,1,logic2,False,False,False
56,Bit manipulation,Easy,Wrong Answer,1,2,logic2,True,False,False
57,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
58,Bit manipulation,Easy,Accepted,1,1,logic2,False,False,False
59,Bit manipulation,Easy,Runtime Error,1,1,logic2,False,False,False
60,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
61,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
62,Bit manipulation,Easy,Accepted,1,1,logic2,False,False,False
63,Bit manipulation,Easy,Wrong Answer,1,2,logic2,True,False,False
64,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
65,Bit manipulation,Easy,Accepted,1,1,logic2,False,False,False
66,Bit manipulation,Easy,Wrong Answer,1,2,logic2,True,False,False
67,Bit manipulation,Easy,Accepted,1,1,logic2,False,False,False
68,Bit manipulation,Easy,Wrong Answer,1,1,logic2,False,False,False
69,Bit manipulation,Easy,Accepted,1,1,logic2,False,False,False
70,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
71,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
72,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
73,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
74,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
75,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
76,Bit manipulation,Medium,Memory Limit Exceeded,3,3,logic2,True,True,True
77,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
78,Bit manipulation,Medium,Wrong Answer,1,2,logic2,True,True,False
79,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
80,Bit manipulation,Medium,Accepted,1,1,logic2,False,False,False
81,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
82,Bit manipulation,Medium,Runtime Error,3,3,logic2,True,True,True
83,Bit manipulation,Medium,Runtime Error,3,3,logic2,True,True,True
84,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
85,Bit manipulation,Medium,Wrong Answer,3,3,logic2,True,True,True
86,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
87,Bit manipulation,Medium,Runtime Error,2,2,logic2,True,False,False
88,Bit manipulation,Medium,Wrong Answer,1,1,logic2,False,False,False
89,Bit manipulation,Medium,Accepted,2,2,logic2,True,False,False
90,Bit manipulation,Medium,Accepted,1,1,logic2,False,False,False
91,Bit manipulation,Hard,Runtime Error,1,1,logic2,False,False,False
92,Bit manipulation,Hard,Wrong Answer,1,1,logic2,False,False,False
93,Bit manipulation,Hard,Wrong Answer,1,1,logic2,False,False,False
94,Bit manipulation,Hard,Wrong Answer,1,1,logic2,False,False,False
95,Bit manipulation,Hard,Runtime Error,1,1,logic2,False,False,False
96,Bit manipulation,Hard,Runtime Error,1,1,logic2,False,False,False
97,Bit manipulation,Hard,Wrong Answer,1,1,logic2,False,False,False
98,Bit manipulation,Hard,Wrong Answer,1,1,logic2,False,False,False
99,Bit manipulation,Hard,Runtime Error,1,1,logic2,False,False,False
100,Bit manipulation,Hard,Accepted,1,1,logic2,False,False,False
101,Tree,Easy,Accepted,1,1,logic2,False,False,False
102,Tree,Easy,Accepted,1,1,logic2,False,False,False
103,Tree,Easy,Wrong Answer,1,2,logic2,True,True,False
104,Tree,Easy,Accepted,1,1,logic2,False,False,False
105,Tree,Easy,Runtime Error,1,1,logic2,False,False,False
106,Tree,Easy,Wrong Answer,1,1,logic2,False,False,False
107,Tree,Easy,Runtime Error,1,1,logic2,False,False,False
108,Tree,Easy,Accepted,1,1,logic2,False,False,False
109,Tree,Easy,Accepted,1,1,logic2,False,False,False
110,Tree,Easy,Wrong Answer,1,1,logic2,False,False,False
111,Tree,Easy,Runtime Error,3,3,logic2,True,True,True
112,Tree,Easy,Accepted,1,1,logic2,False,False,False
113,Tree,Easy,Runtime Error,1,1,logic2,False,False,False
114,Tree,Easy,Accepted,1,1,logic2,False,False,False
115,Tree,Easy,Runtime Error,1,1,logic2,False,False,False
116,Tree,Easy,Wrong Answer,1,1,logic2,False,False,False
117,Tree,Easy,Wrong Answer,1,1,logic2,False,False,False
118,Tree,Easy,Accepted,1,1,logic2,False,False,False
119,Tree,Easy,Runtime Error,1,1,logic2,False,False,False
120,Tree,Easy,Wrong Answer,1,1,logic2,False,False,False
121,Tree,Medium,Accepted,1,1,logic2,False,False,False
122,Tree,Medium,Accepted,1,1,logic2,False,False,False
123,Tree,Medium,Runtime Error,2,2,logic2,True,True,False
124,Tree,Medium,Wrong Answer,1,1,logic2,False,False,False
125,Tree,Medium,Accepted,2,2,logic2,True,False,False
126,Tree,Medium,Accepted,1,1,logic2,False,False,False
127,Tree,Medium,Accepted,2,2,logic2,True,False,False
128,Tree,Medium,Runtime Error,3,3,logic2,True,False,False
129,Tree,Medium,Runtime Error,1,1,logic2,False,False,False
130,Tree,Medium,Runtime Error,1,1,logic2,False,False,False
131,Tree,Medium,Wrong Answer,1,1,logic2,False,False,False
132,Tree,Medium,Runtime Error,1,1,logic2,False,False,False
133,Tree,Medium,Time Limit Exceeded,3,3,logic2,True,True,True
134,Tree,Medium,Wrong Answer,1,2,logic2,True,False,False
135,Tree,Medium,Wrong Answer,1,1,logic2,False,False,False
136,Tree,Medium,Accepted,1,1,logic2,False,False,False
137,Tree,Medium,Runtime Error,1,1,logic2,False,False,False
138,Tree,Medium,Accepted,2,2,logic2,True,False,False
139,Tree,Medium,Wrong Answer,1,1,logic2,False,False,False
140,Tree,Medium,Wrong Answer,1,1,logic2,False,False,False
141,Tree,Hard,Wrong Answer,1,1,logic2,False,False,False
142,Tree,Hard,Runtime Error,2,2,logic2,True,False,False
143,Tree,Hard,Wrong Answer,3,3,logic2,True,False,False
144,Tree,Hard,Runtime Error,1,1,logic2,False,False,False
145,Tree,Hard,Runtime Error,1,1,logic2,False,False,False
146,Tree,Hard,Runtime Error,1,1,logic2,False,False,False
147,Tree,Hard,Accepted,1,1,logic2,False,False,False
148,Tree,Hard,Accepted,1,1,logic2,False,False,False
149,Tree,Hard,Wrong Answer,1,1,logic2,False,False,False
150,Tree,Hard,Accepted,1,1,logic2,False,False,False
151,Graph,Easy,Accepted,1,1,logic2,False,False,False
152,Graph,Medium,Runtime Error,1,1,logic2,False,False,False
153,Graph,Medium,Accepted,3,3,logic2,True,True,False
154,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
155,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
156,Graph,Medium,Wrong Answer,2,2,logic2,True,False,False
157,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
158,Graph,Medium,Runtime Error,3,3,logic2,True,True,True
159,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
160,Graph,Medium,Runtime Error,1,1,logic2,False,False,False
161,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
162,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
163,Graph,Medium,Wrong Answer,1,2,logic2,True,False,False
164,Graph,Medium,Runtime Error,1,1,logic2,False,False,False
165,Graph,Medium,Accepted,1,1,logic2,False,False,False
166,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
167,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
168,Graph,Medium,Wrong Answer,1,1,logic2,False,False,False
169,Graph,Medium,Accepted,1,1,logic2,False,False,False
170,Graph,Hard,Wrong Answer,1,1,logic2,False,False,False
171,Graph,Hard,Accepted,1,1,logic2,False,False,False
172,Graph,Hard,Wrong Answer,1,2,logic2,True,True,False
173,Graph,Hard,Wrong Answer,1,1,logic2,False,False,False
174,Graph,Hard,Wrong Answer,1,1,logic2,False,False,False
175,Graph,Hard,Runtime Error,1,1,logic2,False,False,False
176,Graph,Hard,Wrong Answer,1,1,logic2,False,False,False
177,Graph,Hard,Accepted,1,1,logic2,False,False,False
178,Graph,Hard,Wrong Answer,1,1,logic2,False,False,False
179,Graph,Hard,Wrong Answer,1,1,logic2,False,False,False
1,String,Easy,Accepted,1,1,reference1,False,False,False
2,String,Easy,Accepted,1,1,reference1,False,False,False
3,String,Easy,Wrong Answer,1,1,reference1,False,False,False
4,String,Easy,Wrong Answer,1,1,reference1,False,False,False
5,String,Easy,Wrong Answer,1,1,reference1,False,False,False
6,String,Easy,Wrong Answer,1,1,reference1,False,False,False
7,String,Easy,Wrong Answer,1,1,reference1,False,False,False
8,String,Easy,Wrong Answer,1,1,reference1,False,False,False
9,String,Easy,Accepted,1,1,reference1,False,False,False
10,String,Easy,Wrong Answer,1,1,reference1,False,False,False
11,String,Easy,Wrong Answer,1,1,reference1,False,False,False
12,String,Easy,Accepted,1,1,reference1,False,False,False
13,String,Easy,Accepted,1,1,reference1,False,False,False
14,String,Easy,Runtime Error,1,1,reference1,False,False,False
15,String,Easy,Accepted,1,1,reference1,False,False,False
16,String,Easy,Runtime Error,1,1,reference1,False,False,False
17,String,Easy,Accepted,1,1,reference1,False,False,False
18,String,Medium,Accepted,2,2,reference1,True,True,False
19,String,Medium,Accepted,1,1,reference1,False,False,False
20,String,Medium,Wrong Answer,2,2,reference1,True,True,False
21,String,Medium,Runtime Error,2,2,reference1,True,False,False
22,String,Medium,Runtime Error,1,1,reference1,False,False,False
23,String,Medium,Wrong Answer,1,2,reference1,True,False,False
24,String,Medium,Accepted,1,1,reference1,False,False,False
25,String,Medium,Wrong Answer,1,1,reference1,False,False,False
26,String,Medium,Wrong Answer,1,1,reference1,False,False,False
27,String,Medium,Wrong Answer,1,1,reference1,False,False,False
28,String,Medium,Wrong Answer,1,1,reference1,False,False,False
29,String,Medium,Wrong Answer,3,3,reference1,True,True,True
30,String,Medium,Runtime Error,1,1,reference1,False,False,False
31,String,Medium,Wrong Answer,1,1,reference1,False,False,False
32,String,Medium,Runtime Error,1,1,reference1,False,False,False
33,String,Medium,Accepted,1,1,reference1,False,False,False
34,String,Medium,Wrong Answer,1,1,reference1,False,False,False
35,String,Hard,Accepted,3,3,reference1,True,True,True
36,String,Hard,Runtime Error,2,2,reference1,True,False,False
37,String,Hard,Wrong Answer,1,1,reference1,False,False,False
38,String,Hard,Accepted,1,1,reference1,False,False,False
39,String,Hard,Wrong Answer,1,1,reference1,False,False,False
40,String,Hard,Accepted,1,1,reference1,False,False,False
41,String,Hard,Runtime Error,1,1,reference1,False,False,False
42,String,Hard,Accepted,1,1,reference1,False,False,False
43,String,Hard,Accepted,1,1,reference1,False,False,False
44,String,Hard,Wrong Answer,1,1,reference1,False,False,False
45,String,Hard,Accepted,1,1,reference1,False,False,False
46,String,Hard,Time Limit Exceeded,3,3,reference1,True,True,True
47,String,Hard,Accepted,1,1,reference1,False,False,False
48,String,Hard,Runtime Error,1,1,reference1,False,False,False
49,String,Hard,Wrong Answer,1,1,reference1,False,False,False
50,String,Hard,Runtime Error,1,1,reference1,False,False,False
51,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
52,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
53,Bit manipulation,Easy,Wrong Answer,1,2,reference1,True,True,False
54,Bit manipulation,Easy,Runtime Error,3,3,reference1,True,False,False
55,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
56,Bit manipulation,Easy,Accepted,1,1,reference1,False,False,False
57,Bit manipulation,Easy,Accepted,3,3,reference1,True,True,True
58,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
59,Bit manipulation,Easy,Accepted,1,1,reference1,False,False,False
60,Bit manipulation,Easy,Wrong Answer,1,2,reference1,True,True,False
61,Bit manipulation,Easy,Wrong Answer,3,3,reference1,True,True,True
62,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
63,Bit manipulation,Easy,Wrong Answer,1,2,reference1,True,True,False
64,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
65,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
66,Bit manipulation,Easy,Wrong Answer,1,2,reference1,True,False,False
67,Bit manipulation,Easy,Accepted,1,1,reference1,False,False,False
68,Bit manipulation,Easy,Wrong Answer,1,1,reference1,False,False,False
69,Bit manipulation,Easy,Wrong Answer,1,2,reference1,True,False,False
70,Bit manipulation,Medium,Accepted,2,2,reference1,True,False,False
71,Bit manipulation,Medium,Accepted,3,3,reference1,True,True,True
72,Bit manipulation,Medium,Runtime Error,3,3,reference1,True,False,False
73,Bit manipulation,Medium,Wrong Answer,1,2,reference1,True,True,False
74,Bit manipulation,Medium,Wrong Answer,1,1,reference1,False,False,False
75,Bit manipulation,Medium,Wrong Answer,1,1,reference1,False,False,False
76,Bit manipulation,Medium,Wrong Answer,3,3,reference1,True,True,True
77,Bit manipulation,Medium,Wrong Answer,1,1,reference1,False,False,False
78,Bit manipulation,Medium,Wrong Answer,3,3,reference1,True,True,True
79,Bit manipulation,Medium,Wrong Answer,1,1,reference1,False,False,False
